Date;Type of cash flow;Currency;Quantity / Amount;ISIN;Position;Cash flow type;Month;Identification number;Portfolio instrument number;Evaluation date;Portfolio number;Value pre-tax in trade currency;Value pre-tax in evaluation currency;Value after tax in trade currency
30.04.2022;Coupon;USD;700000;USP37110AJ50;4 3/8% Empresa Nac del Petr 14-30.10.2024;Bonds;4;25.907918.000.0;10000.370000000001-25.907918.000.0;31.08.2021;10000.37;15312.5;15312.5;15312.5
01.05.2022;Coupon;USD;400000;US12513GBE89;4 1/8% CDW LLC Finance 20-01.05.2025;Bonds;5;54.254781.000.0;10000.370000000001-54.254781.000.0;31.08.2021;10000.37;8250;8250;8250
01.05.2022;Coupon;USD;750000;US1248EPBR37;5 1/2% CCO Holdings 16-01.05.2026;Bonds;5;32.212993.000.0;10000.370000000001-32.212993.000.0;31.08.2021;10000.37;20625;20625;20625
02.05.2022;Dividend;USD;41000;US92343V1044;Verizon Communications;Other positions;5; 1.095642.000.0;10000.07- 1.095642.000.0;31.08.2021;10000.07;25727.5;25727.5;18009.25
04.05.2022;Dividend;USD;2800;US46625H1005;JPMorgan Chase;Other positions;5; 1.161460.000.0;10000.07- 1.161460.000.0;31.08.2021;10000.07;2520;2520;1764
04.05.2022;Coupon;USD;600000;USP6638MAB74;3 3/4% Metalsa 21-04.05.2031;Bonds;5;11.282155.000.0;10000.370000000001-11.282155.000.0;31.08.2021;10000.37;11250;11250;11250
05.05.2022;Dividend;EUR;9200;DE0008430026;M�nchener R�ckversicherung N;Other positions;5;  .341960.000.0;10000.07-  .341960.000.0;31.08.2021;10000.07;90160;106429.2516;90160
12.05.2022;Dividend;EUR;10000;DE0008404005;Allianz N;Other positions;5;  .322646.000.0;10000.07-  .322646.000.0;31.08.2021;10000.07;96000;113323.0718;96000
12.05.2022;Dividend;USD;42976;US0378331005;Apple;Other positions;5;  .908440.000.0;10000.07-  .908440.000.0;31.08.2021;10000.07;9454.72;9454.72;6618.304
14.05.2022;Coupon;USD;750000;US35671DBL82;4.55% Freeport McMoran 14-14.11.2024;Bonds;5;26.056843.000.0;10000.370000000001-26.056843.000.0;31.08.2021;10000.37;17062.5;17062.5;17062.5
15.05.2022;Coupon;USD;700000;US389284AA85;7% Gray Escrow Inc 18-15.05.2027 144A;Bonds;5;44.636390.000.0;10000.370000000001-44.636390.000.0;31.08.2021;10000.37;24500;24500;24500
15.05.2022;Coupon;USD;600000;US03969AAN00;4 1/8% Ardagh 19-15.08.2026 144A;Bonds;5;49.263329.000.0;10000.370000000001-49.263329.000.0;31.08.2021;10000.37;12375;12375;12375
15.05.2022;Coupon;USD;800000;USY7140WAE85;4 3/4% Indonesia Asahan Alu 20-15.05.2025;Bonds;5;54.747326.000.0;10000.370000000001-54.747326.000.0;31.08.2021;10000.37;19000;19000;19000
15.05.2022;Coupon;USD;825000;US852061AS99;6 % Sprint 12-15.11.2022;Bonds;5;20.006461.000.0;10000.370000000001-20.006461.000.0;31.08.2021;10000.37;24750;24750;24750
18.05.2022;Coupon;USD;800000;XS2150023906;5 % MEGlobal Canada 20-18.05.2025;Bonds;5;54.777005.000.0;10000.370000000001-54.777005.000.0;31.08.2021;10000.37;20000;20000;20000
20.05.2022;Coupon;USD;1000000;US747525AT09;2.90 % Qualcomm 17-20.05.2024;Bonds;5;36.870380.000.0;10000.049999999999-36.870380.000.0;31.08.2021;10000.05;14500;14500;14500
24.05.2022;Coupon;USD;1500000;USU9273ADE20;1 1/4% Volkswagen Group 20-24.11.2025;Bonds;5;58.378821.000.0;10000.049999999999-58.378821.000.0;31.08.2021;10000.05;9375;9375;9375
01.06.2022;Coupon;USD;700000;US15137TAA88;5 3/8% Centene Escrow 18-01.06.2026;Bonds;6;41.758541.000.0;10000.370000000001-41.758541.000.0;31.08.2021;10000.37;18812.5;18812.5;18812.5
01.06.2022;Coupon;USD;700000;US651229BB19;4 7/8% Newell Brands 20-01.06.2025;Bonds;6;54.926961.000.0;10000.370000000001-54.926961.000.0;31.08.2021;10000.37;17062.5;17062.5;17062.5
01.06.2022;Coupon;USD;500000;US59001KAG58;6 1/4% Meritor 20-01.06.2025;Bonds;6;55.178013.000.0;10000.370000000001-55.178013.000.0;31.08.2021;10000.37;15625;15625;15625
01.06.2022;Coupon;USD;825000;US66977WAR07;5 1/4% Nova Chemicals 17-01.06.2027;Bonds;6;36.943635.000.0;10000.370000000001-36.943635.000.0;31.08.2021;10000.37;21656.25;21656.25;21656.25
01.06.2022;Coupon;USD;750000;US212015AN15;3.80% Continental Resources 14-01.06.2024;Bonds;6;24.766213.000.0;10000.370000000001-24.766213.000.0;31.08.2021;10000.37;14250;14250;14250
01.06.2022;Coupon;USD;1000000;US70450YAG89;1.65% PayPal Holdings 20-01.06.2025;Bonds;6;54.739307.000.0;10000.049999999999-54.739307.000.0;31.08.2021;10000.05;8250;8250;8250
01.06.2022;Dividend;USD;32000;US4581401001;Intel;Other positions;6;  .941595.000.0;10000.07-  .941595.000.0;31.08.2021;10000.07;11120.39024;11120.39024;7784.273171
06.06.2022;Coupon;USD;1750000;US075887BV02;3.363% Becton Dickinson 17-06.06.2024;Bonds;6;36.900815.000.0;10000.049999999999-36.900815.000.0;31.08.2021;10000.05;29426.25;29426.25;29426.25
08.06.2022;Dividend;USD;70000;US7170811035;Pfizer;Other positions;6;  .962004.000.0;10000.07-  .962004.000.0;31.08.2021;10000.07;27300;27300;19110
10.06.2022;Coupon;USD;2250000;US58013MES98;3 1/4% McDonald's 14-10.06.2024;Bonds;6;24.632857.000.0;10000.049999999999-24.632857.000.0;31.08.2021;10000.05;36562.5;36562.5;36562.5
10.06.2022;Dividend;USD;1800;US5949181045;Microsoft;Other positions;6;  .951692.000.0;10000.07-  .951692.000.0;31.08.2021;10000.07;1008;1008;705.6
10.06.2022;Dividend;USD;8000;US4592001014;IBM;Other positions;6;  .941800.000.0;10000.07-  .941800.000.0;31.08.2021;10000.07;13120;13120;9184
15.06.2022;Coupon;USD;1000000;USU07265AE85;4 1/4% Bayer US Finance II 18-15.12.2025;Bonds;6;42.328124.000.0;10000.049999999999-42.328124.000.0;31.08.2021;10000.05;21250;21250;21250
15.06.2022;Coupon;USD;625000;US91911KAP75;9 % Bausch Health 17-15.12.2025 144A;Bonds;6;39.437251.000.0;10000.370000000001-39.437251.000.0;31.08.2021;10000.37;28125;28125;28125
15.06.2022;Coupon;USD;700000;US63938CAJ71;6 3/4% Navient 18-15.06.2026;Bonds;6;42.177803.000.0;10000.370000000001-42.177803.000.0;31.08.2021;10000.37;23625;23625;23625
15.06.2022;Coupon;USD;650000;US431571AD01;5 3/4% Hillenbrand 20-15.06.2025;Bonds;6;55.268134.000.0;10000.370000000001-55.268134.000.0;31.08.2021;10000.37;18687.5;18687.5;18687.5
15.06.2022;Coupon;USD;1000000;US110122CN68;3.20% Bristol Myers 20-15.06.2026;Bonds;6;55.583898.000.0;10000.049999999999-55.583898.000.0;31.08.2021;10000.05;16000;16000;16000
16.06.2022;Dividend;USD;8685;US92556V1061;Viatris;Other positions;6;58.198423.000.0;10000.07-58.198423.000.0;31.08.2021;10000.07;955.35;955.35;668.745
17.06.2022;Coupon;USD;500000;USG2519YAA67;2 3/4% Credicorp 20-17.06.2025;Bonds;6;55.349841.000.0;10000.370000000001-55.349841.000.0;31.08.2021;10000.37;6875;6875;6875
20.06.2022;Coupon;USD;600000;US71654QBC50;2 % Pemex 12-20.12.2022;Bonds;6;18.924917.000.0;10000.049999999999-18.924917.000.0;31.08.2021;10000.05;6000;6000;6000
23.06.2022;Coupon;USD;750000;XS2355149316;3 3/4% OCP 21-23.06.2031;Bonds;6;12.094060.000.0;10000.370000000001-12.094060.000.0;31.08.2021;10000.37;14062.5;14062.5;14062.5
26.06.2022;Coupon;USD;800000;US279158AL39;5 3/8% Ecopetrol 15-26.06.2026;Bonds;6;28.697788.000.0;10000.370000000001-28.697788.000.0;31.08.2021;10000.37;21500;21500;21500
30.06.2022;Dividend;USD;14750;US7134481081;Pepsico;Other positions;6;  .961618.000.0;10000.07-  .961618.000.0;31.08.2021;10000.07;15856.25;15856.25;11099.375
01.07.2022;Dividend;USD;3700;US6541061031;Nike B;Other positions;7;  .957150.000.0;10000.07-  .957150.000.0;31.08.2021;10000.07;1017.5;1017.5;712.25
01.07.2022;Coupon;USD;600000;US958254AF13;4.65% Western Midstream 16-01.07.2026;Bonds;7;33.120765.000.0;10000.370000000001-33.120765.000.0;31.08.2021;10000.37;13950;13950;13950
01.07.2022;Coupon;USD;600000;US81180WAL54;4 3/4% Seagate HDD 15-01.01.2025;Bonds;7;28.954494.000.0;10000.370000000001-28.954494.000.0;31.08.2021;10000.37;14250;14250;14250
01.07.2022;Dividend;USD;37296;US1912161007;Coca Cola;Other positions;7;  .919390.000.0;10000.07-  .919390.000.0;31.08.2021;10000.07;15664.32;15664.32;10965.024
04.07.2022;Coupon;USD;1000000;US00912XBC74;3 7/8% Air Lease 18-03.07.2023;Bonds;7;42.213453.000.0;10000.049999999999-42.213453.000.0;31.08.2021;10000.05;19375;19375;19375
08.07.2022;Coupon;USD;1000000;US89236TFS96;3.35% Toyota Motor Credit 19-08.01.2024;Bonds;7;45.722899.000.0;10000.049999999999-45.722899.000.0;31.08.2021;10000.05;16750;16750;16750
08.07.2022;Coupon;USD;1500000;US86562MCA62;1.474% Sumitomo Mitsui Fin 20-08.07.2025;Bonds;7;55.754944.000.0;10000.049999999999-55.754944.000.0;31.08.2021;10000.05;11055;11055;11055
10.07.2022;Coupon;USD;850000;USN15516AB83;4 1/2 % Braskem Nether 17-10.01.2028;Bonds;7;38.599545.000.0;10000.370000000001-38.599545.000.0;31.08.2021;10000.37;19125;19125;19125
11.07.2022;Coupon;USD;1000000;US59217HBX44;3.60% Metropolitan Life 19-11.01.2024;Bonds;7;45.812661.000.0;10000.049999999999-45.812661.000.0;31.08.2021;10000.05;18000;18000;18000
11.07.2022;Coupon;USD;3000000;US89236TEL52;2.70% Toyota Motor Credit 18-11.01.2023;Bonds;7;39.820103.000.0;10000.049999999999-39.820103.000.0;31.08.2021;10000.05;40500;40500;40500
14.07.2022;Dividend;USD;36265;US6092071058;Mondelez International;Other positions;7;19.549948.000.0;10000.07-19.549948.000.0;31.08.2021;10000.07;11423.48;11423.48;7996.436
14.07.2022;Coupon;USD;700000;US31572UAG13;4 % Fibria 17-14.01.2025;Bonds;7;39.103781.000.0;10000.370000000001-39.103781.000.0;31.08.2021;10000.37;14000;14000;14000
15.07.2022;Coupon;USD;1500000;US278642AE34;2.60% eBay 12-15.07.2022;Bonds;7;19.095949.000.0;10000.049999999999-19.095949.000.0;31.08.2021;10000.05;19500;19500;19500
15.07.2022;Redemption;USD;1500000;US278642AE34;2.60% eBay 12-15.07.2022;Bonds;7;19.095949.000.0;10000.049999999999-19.095949.000.0;31.08.2021;10000.05;1500000;1500000;1500000
15.07.2022;Dividend;USD;890;US8835561023;Thermo Fisher Scientific;Other positions;7;  .977576.000.0;10000.07-  .977576.000.0;31.08.2021;10000.07;231.4;231.4;161.98
15.07.2022;Coupon;USD;750000;US74840LAB80;5 1/4% Quicken Loans 17-15.01.2028;Bonds;7;39.463178.000.0;10000.370000000001-39.463178.000.0;31.08.2021;10000.37;19687.5;19687.5;19687.5
15.07.2022;Coupon;USD;532000;US98954NAA72;5 1/2% Ziggo Finance 16-15.01.2027;Bonds;7;34.005845.000.0;10000.370000000001-34.005845.000.0;31.08.2021;10000.37;14630;14630;14630
15.07.2022;Coupon;USD;750000;US88033GCS75;4 5/8% Tenet Healthcare 18-15.07.2024;Bonds;7;37.047622.000.0;10000.370000000001-37.047622.000.0;31.08.2021;10000.37;17343.75;17343.75;17343.75
15.07.2022;Coupon;USD;650000;USY20721BJ74;5 7/8% Indonesien 14-15.01.2024;Bonds;7;23.298966.000.0;10000.370000000001-23.298966.000.0;31.08.2021;10000.37;19093.75;19093.75;19093.75
15.07.2022;Coupon;USD;1500000;US00206RDD17;3.95% AT&T 16-15.01.2025;Bonds;7;31.824877.000.0;10000.049999999999-31.824877.000.0;31.08.2021;10000.05;29625;29625;29625
16.07.2022;Coupon;USD;1000000;US65535HAR03;1.851% Nomura Holdings 20-16.07.2025;Bonds;7;55.915039.000.0;10000.049999999999-55.915039.000.0;31.08.2021;10000.05;9255;9255;9255
18.07.2022;Coupon;USD;600000;USL79090AB95;5 7/8% Rumo Luxembourg 18-18.01.2025;Bonds;7;39.878431.000.0;10000.370000000001-39.878431.000.0;31.08.2021;10000.37;17625;17625;17625
19.07.2022;Coupon;USD;1000000;US88032XAE40;2.985% Tencent Holdings 18-19.01.2023;Bonds;7;39.904646.000.0;10000.049999999999-39.904646.000.0;31.08.2021;10000.05;14925;14925;14925
19.07.2022;Coupon;USD;1500000;USJ6354YAP90;2.679% Panasonic 19-19.07.2024;Bonds;7;48.966692.000.0;10000.049999999999-48.966692.000.0;31.08.2021;10000.05;20092.5;20092.5;20092.5
20.07.2022;Dividend;USD;10000;US2546871060;The Walt Disney;Other positions;7;  .984192.000.0;10000.07-  .984192.000.0;31.08.2021;10000.07;8800;8800;6160
25.07.2022;Coupon;USD;2500000;US808513AT29;2.65% Charles Schwab 17-25.01.2023;Bonds;7;39.437352.000.0;10000.049999999999-39.437352.000.0;31.08.2021;10000.05;33125;33125;33125
25.07.2022;Coupon;USD;900000;US71654QBW15;4 1/2% Pemex 16-23.01.2026;Bonds;7;29.031932.000.0;10000.370000000001-29.031932.000.0;31.08.2021;10000.37;20250;20250;20250
27.07.2022;Coupon;USD;800000;US71647NAY58;5.999% Petrobras Global Fin 18-27.01.2028;Bonds;7;38.367688.000.0;10000.370000000001-38.367688.000.0;31.08.2021;10000.37;23996;23996;23996
27.07.2022;Coupon;USD;800000;USP3579EBD87;5 1/2% Dominikanische Rep 15-27.01.2025;Bonds;7;26.807339.000.0;10000.370000000001-26.807339.000.0;31.08.2021;10000.37;22000;22000;22000
27.07.2022;Dividend;EUR;16400;DE0007664039;VW VZ;Other positions;7;  .352781.000.0;10000.07-  .352781.000.0;31.08.2021;10000.07;79704;94086.4804;79704
29.07.2022;Dividend;USD;5410;US68389X1054;Oracle;Other positions;7;  .959184.000.0;10000.07-  .959184.000.0;31.08.2021;10000.07;1731.2;1731.2;1211.84
29.07.2022;Coupon;USD;600000;USV3855GAB69;5.95% Greenko Solar 19-29.07.2026;Bonds;7;49.149176.000.0;10000.370000000001-49.149176.000.0;31.08.2021;10000.37;17850;17850;17850
01.08.2022;Coupon;USD;1000000;US44891CAZ68;4.30% Hyundai Cap America 19-01.02.2024;Bonds;8;46.195382.000.0;10000.049999999999-46.195382.000.0;31.08.2021;10000.05;21500;21500;21500
01.08.2022;Coupon;USD;700000;US404119BR91;5 3/8% HCA 15-01.02.2025;Bonds;8;26.700955.000.0;10000.370000000001-26.700955.000.0;31.08.2021;10000.37;18812.5;18812.5;18812.5
02.08.2022;Dividend;USD;41000;US92343V1044;Verizon Communications;Other positions;8; 1.095642.000.0;10000.07- 1.095642.000.0;31.08.2021;10000.07;25727.5;25727.5;18009.25
04.08.2022;Dividend;USD;2800;US46625H1005;JPMorgan Chase;Other positions;8; 1.161460.000.0;10000.07- 1.161460.000.0;31.08.2021;10000.07;2520;2520;1764
10.08.2022;Coupon;USD;4000000;USU81522AC57;0.95% 7 Eleven 21-10.02.2026;Bonds;8;59.704588.000.0;10000.049999999999-59.704588.000.0;31.08.2021;10000.05;19000;19000;19000
11.08.2022;Coupon;USD;700000;XS1951084471;5.15% Gaz Capital Gazprom 19-11.02.2026;Bonds;8;46.360158.000.0;10000.370000000001-46.360158.000.0;31.08.2021;10000.37;18025;18025;18025
12.08.2022;Coupon;USD;800000;XS2114850949;2 3/4% QNB Finance 20-12.02.2027;Bonds;8;52.470521.000.0;10000.370000000001-52.470521.000.0;31.08.2021;10000.37;11000;11000;11000
12.08.2022;Dividend;USD;42976;US0378331005;Apple;Other positions;8;  .908440.000.0;10000.07-  .908440.000.0;31.08.2021;10000.07;9454.72;9454.72;6618.304
15.08.2022;Coupon;USD;1500000;US02079KAC18;1.998% Alphabet 16-15.08.2026;Bonds;8;33.521430.000.0;10000.049999999999-33.521430.000.0;31.08.2021;10000.05;14985;14985;14985
21.08.2022;Coupon;USD;750000;XS1775617209;5.577% E gypt 18-21.02.2023;Bonds;8;40.477415.000.0;10000.370000000001-40.477415.000.0;31.08.2021;10000.37;20913.75;20913.75;20913.75
25.08.2022;Coupon;USD;1000000;US606822BN36;2.193% Mitsubishi UFJ 20-25.02.2025;Bonds;8;52.665870.000.0;10000.049999999999-52.665870.000.0;31.08.2021;10000.05;10965;10965;10965
31.12.2021;Coupon;USD;-41721.21;26.032172.000.0;3.80% Walgreen Boots A 14-18.11.2024;Bonds;12;26.032172.000.0;10000.05-26.032172.000.0;15.09.2025;10000.05;-41721.21;-41721.21;-41721.21
30.06.2022;Coupon;USD;-41721.21;26.032172.000.0;3.80% Walgreen Boots A 14-18.11.2024;Bonds;6;26.032172.000.0;10000.05-26.032172.000.0;15.09.2025;10000.05;-41721.21;-41721.21;-41721.21
31.12.2022;Coupon;USD;-41721.21;26.032172.000.0;3.80% Walgreen Boots A 14-18.11.2024;Bonds;12;26.032172.000.0;10000.05-26.032172.000.0;15.09.2025;10000.05;-41721.21;-41721.21;-41721.21
30.06.2023;Coupon;USD;-41721.21;26.032172.000.0;3.80% Walgreen Boots A 14-18.11.2024;Bonds;6;26.032172.000.0;10000.05-26.032172.000.0;15.09.2025;10000.05;-41721.21;-41721.21;-41721.21
31.12.2023;Coupon;USD;-41721.21;26.032172.000.0;3.80% Walgreen Boots A 14-18.11.2024;Bonds;12;26.032172.000.0;10000.05-26.032172.000.0;15.09.2025;10000.05;-41721.21;-41721.21;-41721.21
30.06.2024;Coupon;USD;-41721.21;26.032172.000.0;3.80% Walgreen Boots A 14-18.11.2024;Bonds;6;26.032172.000.0;10000.05-26.032172.000.0;15.09.2025;10000.05;-41721.21;-41721.21;-41721.21
31.12.2024;Coupon;USD;-41721.21;26.032172.000.0;3.80% Walgreen Boots A 14-18.11.2024;Bonds;12;26.032172.000.0;10000.05-26.032172.000.0;15.09.2025;10000.05;-41721.21;-41721.21;-41721.21
30.06.2025;Coupon;USD;-41721.21;26.032172.000.0;3.80% Walgreen Boots A 14-18.11.2024;Bonds;6;26.032172.000.0;10000.05-26.032172.000.0;15.09.2025;10000.05;-41721.21;-41721.21;-41721.21
31.12.2021;Coupon;USD;-15779.14;33.521430.000.0;1.998% Alphabet 16-15.08.2026;Bonds;12;33.521430.000.0;10000.05-33.521430.000.0;15.09.2025;10000.05;-15779.14;-15779.14;-15779.14
30.06.2022;Coupon;USD;-15779.14;33.521430.000.0;1.998% Alphabet 16-15.08.2026;Bonds;6;33.521430.000.0;10000.05-33.521430.000.0;15.09.2025;10000.05;-15779.14;-15779.14;-15779.14
31.12.2022;Coupon;USD;-15779.14;33.521430.000.0;1.998% Alphabet 16-15.08.2026;Bonds;12;33.521430.000.0;10000.05-33.521430.000.0;15.09.2025;10000.05;-15779.14;-15779.14;-15779.14
30.06.2023;Coupon;USD;-15779.14;33.521430.000.0;1.998% Alphabet 16-15.08.2026;Bonds;6;33.521430.000.0;10000.05-33.521430.000.0;15.09.2025;10000.05;-15779.14;-15779.14;-15779.14
31.12.2023;Coupon;USD;-15779.14;33.521430.000.0;1.998% Alphabet 16-15.08.2026;Bonds;12;33.521430.000.0;10000.05-33.521430.000.0;15.09.2025;10000.05;-15779.14;-15779.14;-15779.14
30.06.2024;Coupon;USD;-15779.14;33.521430.000.0;1.998% Alphabet 16-15.08.2026;Bonds;6;33.521430.000.0;10000.05-33.521430.000.0;15.09.2025;10000.05;-15779.14;-15779.14;-15779.14
31.12.2024;Coupon;USD;-15779.14;33.521430.000.0;1.998% Alphabet 16-15.08.2026;Bonds;12;33.521430.000.0;10000.05-33.521430.000.0;15.09.2025;10000.05;-15779.14;-15779.14;-15779.14
30.06.2025;Coupon;USD;-15779.14;33.521430.000.0;1.998% Alphabet 16-15.08.2026;Bonds;6;33.521430.000.0;10000.05-33.521430.000.0;15.09.2025;10000.05;-15779.14;-15779.14;-15779.14
31.12.2021;Coupon;USD;-34785.63;34.601976.000.0;4.40% HP Enterprise 16-15.10.2022;Bonds;12;34.601976.000.0;10000.05-34.601976.000.0;15.09.2025;10000.05;-34785.63;-34785.63;-34785.63
30.06.2022;Coupon;USD;-34785.63;34.601976.000.0;4.40% HP Enterprise 16-15.10.2022;Bonds;6;34.601976.000.0;10000.05-34.601976.000.0;15.09.2025;10000.05;-34785.63;-34785.63;-34785.63
31.12.2022;Coupon;USD;-34785.63;34.601976.000.0;4.40% HP Enterprise 16-15.10.2022;Bonds;12;34.601976.000.0;10000.05-34.601976.000.0;15.09.2025;10000.05;-34785.63;-34785.63;-34785.63
30.06.2023;Coupon;USD;-34785.63;34.601976.000.0;4.40% HP Enterprise 16-15.10.2022;Bonds;6;34.601976.000.0;10000.05-34.601976.000.0;15.09.2025;10000.05;-34785.63;-34785.63;-34785.63
31.12.2023;Coupon;USD;-34785.63;34.601976.000.0;4.40% HP Enterprise 16-15.10.2022;Bonds;12;34.601976.000.0;10000.05-34.601976.000.0;15.09.2025;10000.05;-34785.63;-34785.63;-34785.63
30.06.2024;Coupon;USD;-34785.63;34.601976.000.0;4.40% HP Enterprise 16-15.10.2022;Bonds;6;34.601976.000.0;10000.05-34.601976.000.0;15.09.2025;10000.05;-34785.63;-34785.63;-34785.63
31.12.2024;Coupon;USD;-34785.63;34.601976.000.0;4.40% HP Enterprise 16-15.10.2022;Bonds;12;34.601976.000.0;10000.05-34.601976.000.0;15.09.2025;10000.05;-34785.63;-34785.63;-34785.63
30.06.2025;Coupon;USD;-34785.63;34.601976.000.0;4.40% HP Enterprise 16-15.10.2022;Bonds;6;34.601976.000.0;10000.05-34.601976.000.0;15.09.2025;10000.05;-34785.63;-34785.63;-34785.63
30.09.2002;Redemption;USD;2018916.67;35.604991.000.0;2 1/2% Apple 17-09.02.2022;Bonds;9;35.604991.000.0;10000.05-35.604991.000.0;15.09.2025;10000.05;2018916.67;2018916.67;2018916.67
31.05.2005;Redemption;USD;2121531.11;36.622510.000.0;2.60% Unilever Capital 17-05.05.2024;Bonds;5;36.622510.000.0;10000.05-36.622510.000.0;15.09.2025;10000.05;2121531.11;2121531.11;2121531.11
31.12.2021;Coupon;USD;-28384.97;38.695584.000.0;2.65% Walmart 17-15.12.2024;Bonds;12;38.695584.000.0;10000.05-38.695584.000.0;15.09.2025;10000.05;-28384.97;-28384.97;-28384.97
30.06.2022;Coupon;USD;-28384.97;38.695584.000.0;2.65% Walmart 17-15.12.2024;Bonds;6;38.695584.000.0;10000.05-38.695584.000.0;15.09.2025;10000.05;-28384.97;-28384.97;-28384.97
31.12.2022;Coupon;USD;-28384.97;38.695584.000.0;2.65% Walmart 17-15.12.2024;Bonds;12;38.695584.000.0;10000.05-38.695584.000.0;15.09.2025;10000.05;-28384.97;-28384.97;-28384.97
30.06.2023;Coupon;USD;-28384.97;38.695584.000.0;2.65% Walmart 17-15.12.2024;Bonds;6;38.695584.000.0;10000.05-38.695584.000.0;15.09.2025;10000.05;-28384.97;-28384.97;-28384.97
31.12.2023;Coupon;USD;-28384.97;38.695584.000.0;2.65% Walmart 17-15.12.2024;Bonds;12;38.695584.000.0;10000.05-38.695584.000.0;15.09.2025;10000.05;-28384.97;-28384.97;-28384.97
30.06.2024;Coupon;USD;-28384.97;38.695584.000.0;2.65% Walmart 17-15.12.2024;Bonds;6;38.695584.000.0;10000.05-38.695584.000.0;15.09.2025;10000.05;-28384.97;-28384.97;-28384.97
31.12.2024;Coupon;USD;-28384.97;38.695584.000.0;2.65% Walmart 17-15.12.2024;Bonds;12;38.695584.000.0;10000.05-38.695584.000.0;15.09.2025;10000.05;-28384.97;-28384.97;-28384.97
30.06.2025;Coupon;USD;-28384.97;38.695584.000.0;2.65% Walmart 17-15.12.2024;Bonds;6;38.695584.000.0;10000.05-38.695584.000.0;15.09.2025;10000.05;-28384.97;-28384.97;-28384.97
31.12.2021;Coupon;USD;-25284.32;48.639236.000.0;2.40% American Honda Fin 19-27.06.2024;Bonds;12;48.639236.000.0;10000.05-48.639236.000.0;15.09.2025;10000.05;-25284.32;-25284.32;-25284.32
30.06.2022;Coupon;USD;-25284.32;48.639236.000.0;2.40% American Honda Fin 19-27.06.2024;Bonds;6;48.639236.000.0;10000.05-48.639236.000.0;15.09.2025;10000.05;-25284.32;-25284.32;-25284.32
31.12.2022;Coupon;USD;-25284.32;48.639236.000.0;2.40% American Honda Fin 19-27.06.2024;Bonds;12;48.639236.000.0;10000.05-48.639236.000.0;15.09.2025;10000.05;-25284.32;-25284.32;-25284.32
30.06.2023;Coupon;USD;-25284.32;48.639236.000.0;2.40% American Honda Fin 19-27.06.2024;Bonds;6;48.639236.000.0;10000.05-48.639236.000.0;15.09.2025;10000.05;-25284.32;-25284.32;-25284.32
31.12.2023;Coupon;USD;-25284.32;48.639236.000.0;2.40% American Honda Fin 19-27.06.2024;Bonds;12;48.639236.000.0;10000.05-48.639236.000.0;15.09.2025;10000.05;-25284.32;-25284.32;-25284.32
30.06.2024;Coupon;USD;-25284.32;48.639236.000.0;2.40% American Honda Fin 19-27.06.2024;Bonds;6;48.639236.000.0;10000.05-48.639236.000.0;15.09.2025;10000.05;-25284.32;-25284.32;-25284.32
31.12.2024;Coupon;USD;-25284.32;48.639236.000.0;2.40% American Honda Fin 19-27.06.2024;Bonds;12;48.639236.000.0;10000.05-48.639236.000.0;15.09.2025;10000.05;-25284.32;-25284.32;-25284.32
30.06.2025;Coupon;USD;-25284.32;48.639236.000.0;2.40% American Honda Fin 19-27.06.2024;Bonds;6;48.639236.000.0;10000.05-48.639236.000.0;15.09.2025;10000.05;-25284.32;-25284.32;-25284.32
31.01.2006;Redemption;USD;1032829.17;54.739307.000.0;1.65% PayPal Holdings 20-01.06.2025;Bonds;1;54.739307.000.0;10000.05-54.739307.000.0;15.09.2025;10000.05;1032829.17;1032829.17;1032829.17
31.10.2002;Redemption;USD;3941591.11;59.704588.000.0;0.95% 7 Eleven 21-10.02.2026;Bonds;10;59.704588.000.0;10000.05-59.704588.000.0;15.09.2025;10000.05;3941591.11;3941591.11;3941591.11
31.12.2021;Coupon;USD;-30658.18;37.047622.000.0;4 5/8% Tenet Healthcare 18-15.07.2024;Bonds;12;37.047622.000.0;10000.37-37.047622.000.0;15.09.2025;10000.37;-30658.18;-30658.18;-30658.18
30.06.2022;Coupon;USD;-30658.18;37.047622.000.0;4 5/8% Tenet Healthcare 18-15.07.2024;Bonds;6;37.047622.000.0;10000.37-37.047622.000.0;15.09.2025;10000.37;-30658.18;-30658.18;-30658.18
31.12.2022;Coupon;USD;-30658.18;37.047622.000.0;4 5/8% Tenet Healthcare 18-15.07.2024;Bonds;12;37.047622.000.0;10000.37-37.047622.000.0;15.09.2025;10000.37;-30658.18;-30658.18;-30658.18
30.06.2023;Coupon;USD;-30658.18;37.047622.000.0;4 5/8% Tenet Healthcare 18-15.07.2024;Bonds;6;37.047622.000.0;10000.37-37.047622.000.0;15.09.2025;10000.37;-30658.18;-30658.18;-30658.18
31.12.2023;Coupon;USD;-30658.18;37.047622.000.0;4 5/8% Tenet Healthcare 18-15.07.2024;Bonds;12;37.047622.000.0;10000.37-37.047622.000.0;15.09.2025;10000.37;-30658.18;-30658.18;-30658.18
30.06.2024;Coupon;USD;-30658.18;37.047622.000.0;4 5/8% Tenet Healthcare 18-15.07.2024;Bonds;6;37.047622.000.0;10000.37-37.047622.000.0;15.09.2025;10000.37;-30658.18;-30658.18;-30658.18
