Description;ISIN;Identification number;Quantity / amount;Price;Market to cost;Weight;Investment strategy;Portfolio manager;Relationship manager;Evaluation date;Portfolio number;Total value in evaluation currency;Trade currency;Risk currency;Duration;YTM;Duration x Total value in evaluation currency;YTM x Total value in evaluation currency;Position rank;Country;Asset class;Price date;Bank
3 1/8% Microsoft 15-03.11.2025;US594918BJ27;30.291160.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.06.2023;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;30.06.2023;LGT, Geneva
3 1/8% Microsoft 15-03.11.2025;US594918BJ27;30.291160.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.07.2023;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.07.2023;LGT, Geneva
3 1/8% Microsoft 15-03.11.2025;US594918BJ27;30.291160.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2023;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.08.2023;LGT, Geneva
3 1/8% Microsoft 15-03.11.2025;US594918BJ27;30.291160.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.09.2023;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;30.09.2023;LGT, Geneva
3 1/8% Microsoft 15-03.11.2025;US594918BJ27;30.291160.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.10.2023;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.10.2023;LGT, Geneva
3 1/8% Microsoft 15-03.11.2025;US594918BJ27;30.291160.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.11.2023;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;30.11.2023;LGT, Geneva
3 1/8% Microsoft 15-03.11.2025;US594918BJ27;30.291160.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.12.2023;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.12.2023;LGT, Geneva
3 1/8% Microsoft 15-03.11.2025;US594918BJ27;30.291160.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.01.2024;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.01.2024;LGT, Geneva
3 1/8% Microsoft 15-03.11.2025;US594918BJ27;30.291160.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;29.02.2024;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;29.02.2024;LGT, Geneva
3 1/8% Microsoft 15-03.11.2025;US594918BJ27;30.291160.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.03.2024;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.03.2024;LGT, Geneva
3 1/8% Microsoft 15-03.11.2025;US594918BJ27;30.291160.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.04.2024;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;30.04.2024;LGT, Geneva
3 1/8% Microsoft 15-03.11.2025;US594918BJ27;30.291160.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.05.2024;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.05.2024;LGT, Geneva
3 1/8% Microsoft 15-03.11.2025;US594918BJ27;30.291160.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.06.2024;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;30.06.2024;LGT, Geneva
3 1/8% Microsoft 15-03.11.2025;US594918BJ27;30.291160.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.07.2024;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.07.2024;LGT, Geneva
3 1/8% Microsoft 15-03.11.2025;US594918BJ27;30.291160.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2024;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.08.2024;LGT, Geneva
3 1/8% Microsoft 15-03.11.2025;US594918BJ27;30.291160.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.09.2024;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;30.09.2024;LGT, Geneva
3 1/8% Microsoft 15-03.11.2025;US594918BJ27;30.291160.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.10.2024;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.10.2024;LGT, Geneva
3 1/8% Microsoft 15-03.11.2025;US594918BJ27;30.291160.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.11.2024;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;30.11.2024;LGT, Geneva
3 1/8% Microsoft 15-03.11.2025;US594918BJ27;30.291160.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.12.2024;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.12.2024;LGT, Geneva
3 1/8% Microsoft 15-03.11.2025;US594918BJ27;30.291160.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.01.2025;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.01.2025;LGT, Geneva
3 1/8% Microsoft 15-03.11.2025;US594918BJ27;30.291160.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;28.02.2025;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;28.02.2025;LGT, Geneva
3 1/8% Microsoft 15-03.11.2025;US594918BJ27;30.291160.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.03.2025;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.03.2025;LGT, Geneva
3 1/8% Microsoft 15-03.11.2025;US594918BJ27;30.291160.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.04.2025;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;30.04.2025;LGT, Geneva
3 1/8% Microsoft 15-03.11.2025;US594918BJ27;30.291160.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.05.2025;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.05.2025;LGT, Geneva
3 1/8% Microsoft 15-03.11.2025;US594918BJ27;30.291160.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.06.2025;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;30.06.2025;LGT, Geneva
3 1/8% Microsoft 15-03.11.2025;US594918BJ27;30.291160.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.07.2025;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.07.2025;LGT, Geneva
3 1/8% Microsoft 15-03.11.2025;US594918BJ27;30.291160.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2025;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.08.2025;LGT, Geneva
3.65% Anheuser Busch 16-01.02.2026;US035242AP13;31.118407.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.09.2021;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;30.09.2021;LGT, Geneva
3.65% Anheuser Busch 16-01.02.2026;US035242AP13;31.118407.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.10.2021;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.10.2021;LGT, Geneva
3.65% Anheuser Busch 16-01.02.2026;US035242AP13;31.118407.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.11.2021;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;30.11.2021;LGT, Geneva
3.65% Anheuser Busch 16-01.02.2026;US035242AP13;31.118407.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.12.2021;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.12.2021;LGT, Geneva
3.65% Anheuser Busch 16-01.02.2026;US035242AP13;31.118407.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.01.2022;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.01.2022;LGT, Geneva
3.65% Anheuser Busch 16-01.02.2026;US035242AP13;31.118407.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;28.02.2022;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;28.02.2022;LGT, Geneva
3.65% Anheuser Busch 16-01.02.2026;US035242AP13;31.118407.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.03.2022;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.03.2022;LGT, Geneva
3.65% Anheuser Busch 16-01.02.2026;US035242AP13;31.118407.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.04.2022;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;30.04.2022;LGT, Geneva
3.65% Anheuser Busch 16-01.02.2026;US035242AP13;31.118407.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.05.2022;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.05.2022;LGT, Geneva
3.65% Anheuser Busch 16-01.02.2026;US035242AP13;31.118407.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.06.2022;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;30.06.2022;LGT, Geneva
3.65% Anheuser Busch 16-01.02.2026;US035242AP13;31.118407.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.07.2022;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.07.2022;LGT, Geneva
3.65% Anheuser Busch 16-01.02.2026;US035242AP13;31.118407.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2022;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.08.2022;LGT, Geneva
3.65% Anheuser Busch 16-01.02.2026;US035242AP13;31.118407.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.09.2022;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;30.09.2022;LGT, Geneva
3.65% Anheuser Busch 16-01.02.2026;US035242AP13;31.118407.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.10.2022;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.10.2022;LGT, Geneva
3.65% Anheuser Busch 16-01.02.2026;US035242AP13;31.118407.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.11.2022;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;30.11.2022;LGT, Geneva
3.65% Anheuser Busch 16-01.02.2026;US035242AP13;31.118407.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.12.2022;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.12.2022;LGT, Geneva
3.65% Anheuser Busch 16-01.02.2026;US035242AP13;31.118407.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.01.2023;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.01.2023;LGT, Geneva
3.65% Anheuser Busch 16-01.02.2026;US035242AP13;31.118407.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;28.02.2023;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;28.02.2023;LGT, Geneva
3.65% Anheuser Busch 16-01.02.2026;US035242AP13;31.118407.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.03.2023;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.03.2023;LGT, Geneva
3.65% Anheuser Busch 16-01.02.2026;US035242AP13;31.118407.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.04.2023;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;30.04.2023;LGT, Geneva
3.65% Anheuser Busch 16-01.02.2026;US035242AP13;31.118407.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.05.2023;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.05.2023;LGT, Geneva
3.65% Anheuser Busch 16-01.02.2026;US035242AP13;31.118407.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.06.2023;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;30.06.2023;LGT, Geneva
3.65% Anheuser Busch 16-01.02.2026;US035242AP13;31.118407.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.07.2023;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.07.2023;LGT, Geneva
3.65% Anheuser Busch 16-01.02.2026;US035242AP13;31.118407.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2023;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.08.2023;LGT, Geneva
3.65% Anheuser Busch 16-01.02.2026;US035242AP13;31.118407.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.09.2023;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;30.09.2023;LGT, Geneva
3.65% Anheuser Busch 16-01.02.2026;US035242AP13;31.118407.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.10.2023;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.10.2023;LGT, Geneva
3.65% Anheuser Busch 16-01.02.2026;US035242AP13;31.118407.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.11.2023;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;30.11.2023;LGT, Geneva
3.65% Anheuser Busch 16-01.02.2026;US035242AP13;31.118407.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.12.2023;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.12.2023;LGT, Geneva
3.65% Anheuser Busch 16-01.02.2026;US035242AP13;31.118407.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.01.2024;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.01.2024;LGT, Geneva
3.65% Anheuser Busch 16-01.02.2026;US035242AP13;31.118407.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;29.02.2024;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;29.02.2024;LGT, Geneva
3.65% Anheuser Busch 16-01.02.2026;US035242AP13;31.118407.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.03.2024;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.03.2024;LGT, Geneva
3.65% Anheuser Busch 16-01.02.2026;US035242AP13;31.118407.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.04.2024;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;30.04.2024;LGT, Geneva
3.65% Anheuser Busch 16-01.02.2026;US035242AP13;31.118407.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.05.2024;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.05.2024;LGT, Geneva
3.65% Anheuser Busch 16-01.02.2026;US035242AP13;31.118407.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.06.2024;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;30.06.2024;LGT, Geneva
3.65% Anheuser Busch 16-01.02.2026;US035242AP13;31.118407.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.07.2024;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.07.2024;LGT, Geneva
3.65% Anheuser Busch 16-01.02.2026;US035242AP13;31.118407.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2024;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.08.2024;LGT, Geneva
3.65% Anheuser Busch 16-01.02.2026;US035242AP13;31.118407.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.09.2024;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;30.09.2024;LGT, Geneva
3.65% Anheuser Busch 16-01.02.2026;US035242AP13;31.118407.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.10.2024;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.10.2024;LGT, Geneva
3.65% Anheuser Busch 16-01.02.2026;US035242AP13;31.118407.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.11.2024;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;30.11.2024;LGT, Geneva
3.65% Anheuser Busch 16-01.02.2026;US035242AP13;31.118407.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.12.2024;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.12.2024;LGT, Geneva
3.65% Anheuser Busch 16-01.02.2026;US035242AP13;31.118407.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.01.2025;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.01.2025;LGT, Geneva
3.65% Anheuser Busch 16-01.02.2026;US035242AP13;31.118407.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;28.02.2025;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;28.02.2025;LGT, Geneva
3.65% Anheuser Busch 16-01.02.2026;US035242AP13;31.118407.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.03.2025;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.03.2025;LGT, Geneva
3.65% Anheuser Busch 16-01.02.2026;US035242AP13;31.118407.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.04.2025;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;30.04.2025;LGT, Geneva
3.65% Anheuser Busch 16-01.02.2026;US035242AP13;31.118407.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.05.2025;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.05.2025;LGT, Geneva
3.65% Anheuser Busch 16-01.02.2026;US035242AP13;31.118407.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.06.2025;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;30.06.2025;LGT, Geneva
3.65% Anheuser Busch 16-01.02.2026;US035242AP13;31.118407.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.07.2025;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.07.2025;LGT, Geneva
3.65% Anheuser Busch 16-01.02.2026;US035242AP13;31.118407.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2025;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.08.2025;LGT, Geneva
3.45% Walgreens Boots 16-01.06.2026;US931427AQ19;32.729084.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.09.2021;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;30.09.2021;LGT, Geneva
3.45% Walgreens Boots 16-01.06.2026;US931427AQ19;32.729084.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.10.2021;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.10.2021;LGT, Geneva
3.45% Walgreens Boots 16-01.06.2026;US931427AQ19;32.729084.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.11.2021;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;30.11.2021;LGT, Geneva
3.45% Walgreens Boots 16-01.06.2026;US931427AQ19;32.729084.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.12.2021;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.12.2021;LGT, Geneva
3.45% Walgreens Boots 16-01.06.2026;US931427AQ19;32.729084.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.01.2022;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.01.2022;LGT, Geneva
3.45% Walgreens Boots 16-01.06.2026;US931427AQ19;32.729084.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;28.02.2022;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;28.02.2022;LGT, Geneva
3.45% Walgreens Boots 16-01.06.2026;US931427AQ19;32.729084.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.03.2022;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.03.2022;LGT, Geneva
3.45% Walgreens Boots 16-01.06.2026;US931427AQ19;32.729084.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.04.2022;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;30.04.2022;LGT, Geneva
3.45% Walgreens Boots 16-01.06.2026;US931427AQ19;32.729084.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.05.2022;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.05.2022;LGT, Geneva
3.45% Walgreens Boots 16-01.06.2026;US931427AQ19;32.729084.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.06.2022;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;30.06.2022;LGT, Geneva
3.45% Walgreens Boots 16-01.06.2026;US931427AQ19;32.729084.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.07.2022;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.07.2022;LGT, Geneva
3.45% Walgreens Boots 16-01.06.2026;US931427AQ19;32.729084.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2022;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.08.2022;LGT, Geneva
3.45% Walgreens Boots 16-01.06.2026;US931427AQ19;32.729084.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.09.2022;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;30.09.2022;LGT, Geneva
3.45% Walgreens Boots 16-01.06.2026;US931427AQ19;32.729084.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.10.2022;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.10.2022;LGT, Geneva
3.45% Walgreens Boots 16-01.06.2026;US931427AQ19;32.729084.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.11.2022;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;30.11.2022;LGT, Geneva
3.45% Walgreens Boots 16-01.06.2026;US931427AQ19;32.729084.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.12.2022;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.12.2022;LGT, Geneva
3.45% Walgreens Boots 16-01.06.2026;US931427AQ19;32.729084.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.01.2023;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.01.2023;LGT, Geneva
3.45% Walgreens Boots 16-01.06.2026;US931427AQ19;32.729084.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;28.02.2023;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;28.02.2023;LGT, Geneva
3.45% Walgreens Boots 16-01.06.2026;US931427AQ19;32.729084.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.03.2023;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.03.2023;LGT, Geneva
3.45% Walgreens Boots 16-01.06.2026;US931427AQ19;32.729084.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.04.2023;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;30.04.2023;LGT, Geneva
3.45% Walgreens Boots 16-01.06.2026;US931427AQ19;32.729084.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.05.2023;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.05.2023;LGT, Geneva
3.45% Walgreens Boots 16-01.06.2026;US931427AQ19;32.729084.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.06.2023;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;30.06.2023;LGT, Geneva
3.45% Walgreens Boots 16-01.06.2026;US931427AQ19;32.729084.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.07.2023;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.07.2023;LGT, Geneva
3.45% Walgreens Boots 16-01.06.2026;US931427AQ19;32.729084.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2023;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.08.2023;LGT, Geneva
3.45% Walgreens Boots 16-01.06.2026;US931427AQ19;32.729084.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.09.2023;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;30.09.2023;LGT, Geneva
3.45% Walgreens Boots 16-01.06.2026;US931427AQ19;32.729084.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.10.2023;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.10.2023;LGT, Geneva
3.45% Walgreens Boots 16-01.06.2026;US931427AQ19;32.729084.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.11.2023;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;30.11.2023;LGT, Geneva
3.45% Walgreens Boots 16-01.06.2026;US931427AQ19;32.729084.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.12.2023;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.12.2023;LGT, Geneva
3.45% Walgreens Boots 16-01.06.2026;US931427AQ19;32.729084.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.01.2024;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.01.2024;LGT, Geneva
3.45% Walgreens Boots 16-01.06.2026;US931427AQ19;32.729084.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;29.02.2024;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;29.02.2024;LGT, Geneva
3.45% Walgreens Boots 16-01.06.2026;US931427AQ19;32.729084.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.03.2024;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.03.2024;LGT, Geneva
3.45% Walgreens Boots 16-01.06.2026;US931427AQ19;32.729084.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.04.2024;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;30.04.2024;LGT, Geneva
3.45% Walgreens Boots 16-01.06.2026;US931427AQ19;32.729084.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.05.2024;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.05.2024;LGT, Geneva
3.45% Walgreens Boots 16-01.06.2026;US931427AQ19;32.729084.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.06.2024;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;30.06.2024;LGT, Geneva
