Ticket date;Transaction;Transaction number;Amount;Position;Identification number;Accounting;Price;Value in evaluation currency;Portfolio number;Booking date;Value date;Purchase date;Portfolio instrument number;Position instrument number;Evaluation date;Transaction value in evaluation currency;Transaction interest in evaluation currency;Transaction fees in evaluation currency;Transaction duties and taxes in evaluation currency;Fee basis in evaluation currency;Transaction holding position;Transaction holding amount;Transaction counterparty position;Transaction counterparty currency;Transaction counterparty amount;Transaction holding identification number;Transaction counterparty identification number;Value;Currency;Transaction holding currency
01.09.2020;Dividend payment;10000.07-4215;0;Pfizer;  .962004.000.0;Dividend;;-18620;10000.07;03.09.2020;01.09.2020;01.09.2020;10000.07-  .962004.000.0;Pfizer (  .962004.000.0);31.08.2021;0;18620;0;0;18620;Pfizer;0;Current Account USD;USD;18620;  .962004.000.0;  .KK-USD.000.0.10000.07;-18620;USD;USD
10.09.2020;Dividend payment;10000.07-4253;0;Microsoft;  .951692.000.0;Dividend;;-642.6;10000.07;13.10.2020;10.09.2020;10.09.2020;10000.07-  .951692.000.0;Microsoft (  .951692.000.0);31.08.2021;0;642.6;0;0;642.6;Microsoft;0;Current Account USD;USD;642.6;  .951692.000.0;  .KK-USD.000.0.10000.07;-642.6;USD;USD
29.09.2020;Dividend payment;10000.07-4225;0;JPM Asian Total Return Bond;10.525835.000.0;Dividend;;-0.07;10000.07;01.10.2020;08.09.2020;29.09.2020;10000.07-10.525835.000.0;JPM Asian Total Return Bond (10.525835.000.0);31.08.2021;0;0.07;0;0;0.07;JPM Asian Total Return Bond;0;Current Account USD;USD;0.07;10.525835.000.0;  .KK-USD.000.0.10000.07;-0.07;USD;USD
30.09.2020;Dividend payment;10000.07-4227;0;Pepsico;  .961618.000.0;Dividend;;-10557.32;10000.07;02.10.2020;30.09.2020;30.09.2020;10000.07-  .961618.000.0;Pepsico (  .961618.000.0);31.08.2021;0;10557.32;0;0;10557.32;Pepsico;0;Current Account USD;USD;10557.32;  .961618.000.0;  .KK-USD.000.0.10000.07;-10557.32;USD;USD
30.09.2020;Credit interest;10000.07-4231;0;Current Account USD;  .KK-USD.000.0.10000.07;Interest;;-1.75;10000.07;05.10.2020;30.09.2020;30.09.2020;10000.07-  .KK-USD.000.0.10000.07;Current Account USD (  .KK-USD.000.0.10000.07);31.08.2021;0;1.75;0;0;1.75;Current Account USD;0;Current Account USD;USD;1.75;  .KK-USD.000.0.10000.07;  .KK-USD.000.0.10000.07;-1.75;USD;USD
01.10.2020;Dividend payment;10000.07-4235;0;Nike B;  .957150.000.0;Dividend;;-634.55;10000.07;05.10.2020;01.10.2020;01.10.2020;10000.07-  .957150.000.0;Nike B (  .957150.000.0);31.08.2021;0;634.55;0;0;634.55;Nike B;0;Current Account USD;USD;634.55;  .957150.000.0;  .KK-USD.000.0.10000.07;-634.55;USD;USD
01.10.2020;Dividend payment;10000.07-4239;0;Current Account USD;  .KK-USD.000.0.10000.07;Dividend;;-10703.95;10000.07;05.10.2020;01.10.2020;01.10.2020;10000.07-  .KK-USD.000.0.10000.07;Current Account USD (  .KK-USD.000.0.10000.07);31.08.2021;0;10703.95;0;0;10703.95;Current Account USD;0;Current Account USD;USD;10703.95;  .KK-USD.000.0.10000.07;  .KK-USD.000.0.10000.07;-10703.95;USD;USD
14.10.2020;Dividend payment;10000.07-4257;0;Mondelez International;19.549948.000.0;Dividend;;-7996.44;10000.07;16.10.2020;14.10.2020;14.10.2020;10000.07-19.549948.000.0;Mondelez International (19.549948.000.0);31.08.2021;0;7996.44;0;0;7996.44;Mondelez International;0;Current Account USD;USD;7996.44;19.549948.000.0;  .KK-USD.000.0.10000.07;-7996.44;USD;USD
15.10.2020;Dividend payment;10000.07-4261;0;Thermo Fisher Scientific;  .977576.000.0;Dividend;;-137.06;10000.07;19.10.2020;15.10.2020;15.10.2020;10000.07-  .977576.000.0;Thermo Fisher Scientific (  .977576.000.0);31.08.2021;0;137.06;0;0;137.06;Thermo Fisher Scientific;0;Current Account USD;USD;137.06;  .977576.000.0;  .KK-USD.000.0.10000.07;-137.06;USD;USD
22.10.2020;Dividend payment;10000.07-4265;0;Oracle;  .959184.000.0;Dividend;;-908.88;10000.07;26.10.2020;22.10.2020;22.10.2020;10000.07-  .959184.000.0;Oracle (  .959184.000.0);31.08.2021;0;908.88;0;0;908.88;Oracle;0;Current Account USD;USD;908.88;  .959184.000.0;  .KK-USD.000.0.10000.07;-908.88;USD;USD
30.10.2020;Credit interest;10000.07-4274;0;Current Account USD;  .KK-USD.000.0.10000.07;Interest;;-0.7;10000.07;04.11.2020;31.10.2020;30.10.2020;10000.07-  .KK-USD.000.0.10000.07;Current Account USD (  .KK-USD.000.0.10000.07);31.08.2021;0;0.7;0;0;0.7;Current Account USD;0;Current Account USD;USD;0.7;  .KK-USD.000.0.10000.07;  .KK-USD.000.0.10000.07;-0.7;USD;USD
02.11.2020;Dividend payment;10000.07-4270;0;JPMorgan Chase; 1.161460.000.0;Dividend;;-1764;10000.07;04.11.2020;02.11.2020;02.11.2020;10000.07- 1.161460.000.0;JPMorgan Chase ( 1.161460.000.0);31.08.2021;0;1764;0;0;1764;JPMorgan Chase;0;Current Account USD;USD;1764; 1.161460.000.0;  .KK-USD.000.0.10000.07;-1764;USD;USD
02.11.2020;Dividend payment;10000.07-4278;0;Verizon Communications; 1.095642.000.0;Dividend;;-18009.25;10000.07;04.11.2020;02.11.2020;02.11.2020;10000.07- 1.095642.000.0;Verizon Communications ( 1.095642.000.0);31.08.2021;0;18009.25;0;0;18009.25;Verizon Communications;0;Current Account USD;USD;18009.25; 1.095642.000.0;  .KK-USD.000.0.10000.07;-18009.25;USD;USD
13.11.2020;Dividend payment;10000.07-4286;0;Apple;  .908440.000.0;Dividend;;-6167.06;10000.07;17.11.2020;12.11.2020;13.11.2020;10000.07-  .908440.000.0;Apple (  .908440.000.0);31.08.2021;0;6167.06;0;0;6167.06;Apple;0;Current Account USD;USD;6167.06;  .908440.000.0;  .KK-USD.000.0.10000.07;-6167.06;USD;USD
30.11.2020;Credit interest;10000.07-4291;0;Current Account USD;  .KK-USD.000.0.10000.07;Holding;;0;10000.07;03.12.2020;31.10.2020;30.11.2020;10000.07-  .KK-USD.000.0.10000.07;Current Account USD (  .KK-USD.000.0.10000.07);31.08.2021;0;0;0;0;0;Current Account USD;0;Current Account USD;USD;0;  .KK-USD.000.0.10000.07;  .KK-USD.000.0.10000.07;0;USD;USD
30.11.2020;Credit interest;10000.07-4295;0;Current Account USD;  .KK-USD.000.0.10000.07;Interest;;-0.47;10000.07;03.12.2020;30.11.2020;30.11.2020;10000.07-  .KK-USD.000.0.10000.07;Current Account USD (  .KK-USD.000.0.10000.07);31.08.2021;0;0.47;0;0;0.47;Current Account USD;0;Current Account USD;USD;0.47;  .KK-USD.000.0.10000.07;  .KK-USD.000.0.10000.07;-0.47;USD;USD
01.12.2020;Dividend payment;10000.07-4299;0;Intel;  .941595.000.0;Dividend;;-7392;10000.07;03.12.2020;01.12.2020;01.12.2020;10000.07-  .941595.000.0;Intel (  .941595.000.0);31.08.2021;0;7392;0;0;7392;Intel;0;Current Account USD;USD;7392;  .941595.000.0;  .KK-USD.000.0.10000.07;-7392;USD;USD
02.12.2020;Dividend payment;10000.07-4303;0;Pfizer;  .962004.000.0;Dividend;;-18620;10000.07;04.12.2020;01.12.2020;02.12.2020;10000.07-  .962004.000.0;Pfizer (  .962004.000.0);31.08.2021;0;18620;0;0;18620;Pfizer;0;Current Account USD;USD;18620;  .962004.000.0;  .KK-USD.000.0.10000.07;-18620;USD;USD
10.12.2020;Dividend payment;10000.07-4310;0;Microsoft;  .951692.000.0;Dividend;;-705.6;10000.07;14.12.2020;10.12.2020;10.12.2020;10000.07-  .951692.000.0;Microsoft (  .951692.000.0);31.08.2021;0;705.6;0;0;705.6;Microsoft;0;Current Account USD;USD;705.6;  .951692.000.0;  .KK-USD.000.0.10000.07;-705.6;USD;USD
10.12.2020;Dividend payment;10000.07-4314;0;IBM;  .941800.000.0;Dividend;;-9128;10000.07;14.12.2020;10.12.2020;10.12.2020;10000.07-  .941800.000.0;IBM (  .941800.000.0);31.08.2021;0;9128;0;0;9128;IBM;0;Current Account USD;USD;9128;  .941800.000.0;  .KK-USD.000.0.10000.07;-9128;USD;USD
15.12.2020;Dividend payment;10000.07-4318;0;Coca Cola;  .919390.000.0;Dividend;;-10703.95;10000.07;21.12.2020;15.12.2020;15.12.2020;10000.07-  .919390.000.0;Coca Cola (  .919390.000.0);31.08.2021;0;10703.95;0;0;10703.95;Coca Cola;0;Current Account USD;USD;10703.95;  .919390.000.0;  .KK-USD.000.0.10000.07;-10703.95;USD;USD
29.12.2020;Dividend payment;10000.07-4323;0;Nike B;  .957150.000.0;Dividend;;-712.25;10000.07;31.12.2020;29.12.2020;29.12.2020;10000.07-  .957150.000.0;Nike B (  .957150.000.0);31.08.2021;0;712.25;0;0;712.25;Nike B;0;Current Account USD;USD;712.25;  .957150.000.0;  .KK-USD.000.0.10000.07;-712.25;USD;USD
31.12.2020;Credit interest;10000.07-4327;0;Current Account USD;  .KK-USD.000.0.10000.07;Interest;;-1.12;10000.07;05.01.2021;31.12.2020;31.12.2020;10000.07-  .KK-USD.000.0.10000.07;Current Account USD (  .KK-USD.000.0.10000.07);31.08.2021;0;1.12;0;0;1.12;Current Account USD;0;Current Account USD;USD;1.12;  .KK-USD.000.0.10000.07;  .KK-USD.000.0.10000.07;-1.12;USD;USD
07.01.2021;Dividend payment;10000.07-4331;0;Pepsico;  .961618.000.0;Dividend;;-10557.32;10000.07;11.01.2021;07.01.2021;07.01.2021;10000.07-  .961618.000.0;Pepsico (  .961618.000.0);31.08.2021;0;10557.32;0;0;10557.32;Pepsico;0;Current Account USD;USD;10557.32;  .961618.000.0;  .KK-USD.000.0.10000.07;-10557.32;USD;USD
08.01.2021;Dividend payment;10000.07-4335;0;JPM Asian Total Return Bond;10.525835.000.0;Dividend;;-0.01;10000.07;12.01.2021;09.11.2020;08.01.2021;10000.07-10.525835.000.0;JPM Asian Total Return Bond (10.525835.000.0);31.08.2021;0;0.01;0;0;0.01;JPM Asian Total Return Bond;0;Current Account USD;USD;0.01;10.525835.000.0;  .KK-USD.000.0.10000.07;-0.01;USD;USD
14.01.2021;Dividend payment;10000.07-4339;0;Mondelez International;19.549948.000.0;Dividend;;-7996.44;10000.07;18.01.2021;14.01.2021;14.01.2021;10000.07-19.549948.000.0;Mondelez International (19.549948.000.0);31.08.2021;0;7996.44;0;0;7996.44;Mondelez International;0;Current Account USD;USD;7996.44;19.549948.000.0;  .KK-USD.000.0.10000.07;-7996.44;USD;USD
15.01.2021;Dividend payment;10000.07-4343;0;Thermo Fisher Scientific;  .977576.000.0;Dividend;;-137.06;10000.07;19.01.2021;15.01.2021;15.01.2021;10000.07-  .977576.000.0;Thermo Fisher Scientific (  .977576.000.0);31.08.2021;0;137.06;0;0;137.06;Thermo Fisher Scientific;0;Current Account USD;USD;137.06;  .977576.000.0;  .KK-USD.000.0.10000.07;-137.06;USD;USD
21.01.2021;Dividend payment;10000.07-4347;0;Oracle;  .959184.000.0;Dividend;;-908.88;10000.07;25.01.2021;21.01.2021;21.01.2021;10000.07-  .959184.000.0;Oracle (  .959184.000.0);31.08.2021;0;908.88;0;0;908.88;Oracle;0;Current Account USD;USD;908.88;  .959184.000.0;  .KK-USD.000.0.10000.07;-908.88;USD;USD
29.01.2021;Credit interest;10000.07-4360;0;Current Account USD;  .KK-USD.000.0.10000.07;Interest;;-1.51;10000.07;09.02.2021;31.01.2021;29.01.2021;10000.07-  .KK-USD.000.0.10000.07;Current Account USD (  .KK-USD.000.0.10000.07);31.08.2021;0;1.51;0;0;1.51;Current Account USD;0;Current Account USD;USD;1.51;  .KK-USD.000.0.10000.07;  .KK-USD.000.0.10000.07;-1.51;USD;USD
29.01.2021;Credit interest;10000.07-4365;0;Current Account USD;  .KK-USD.000.0.10000.07;Interest;;-0.05;10000.07;09.02.2021;31.12.2020;29.01.2021;10000.07-  .KK-USD.000.0.10000.07;Current Account USD (  .KK-USD.000.0.10000.07);31.08.2021;0;0.05;0;0;0.05;Current Account USD;0;Current Account USD;USD;0.05;  .KK-USD.000.0.10000.07;  .KK-USD.000.0.10000.07;-0.05;USD;USD
01.02.2021;Dividend payment;10000.07-4352;0;Verizon Communications; 1.095642.000.0;Dividend;;-18009.25;10000.07;03.02.2021;01.02.2021;01.02.2021;10000.07- 1.095642.000.0;Verizon Communications ( 1.095642.000.0);31.08.2021;0;18009.25;0;0;18009.25;Verizon Communications;0;Current Account USD;USD;18009.25; 1.095642.000.0;  .KK-USD.000.0.10000.07;-18009.25;USD;USD
01.02.2021;Dividend payment;10000.07-4356;0;JPMorgan Chase; 1.161460.000.0;Dividend;;-1764;10000.07;03.02.2021;01.02.2021;01.02.2021;10000.07- 1.161460.000.0;JPMorgan Chase ( 1.161460.000.0);31.08.2021;0;1764;0;0;1764;JPMorgan Chase;0;Current Account USD;USD;1764; 1.161460.000.0;  .KK-USD.000.0.10000.07;-1764;USD;USD
11.02.2021;Dividend payment;10000.07-4373;0;Apple;  .908440.000.0;Dividend;;-6167.06;10000.07;15.02.2021;11.02.2021;11.02.2021;10000.07-  .908440.000.0;Apple (  .908440.000.0);31.08.2021;0;6167.06;0;0;6167.06;Apple;0;Current Account USD;USD;6167.06;  .908440.000.0;  .KK-USD.000.0.10000.07;-6167.06;USD;USD
26.02.2021;Credit interest;10000.07-4378;0;Current Account USD;  .KK-USD.000.0.10000.07;Interest;;-1.75;10000.07;09.03.2021;28.02.2021;26.02.2021;10000.07-  .KK-USD.000.0.10000.07;Current Account USD (  .KK-USD.000.0.10000.07);31.08.2021;0;1.75;0;0;1.75;Current Account USD;0;Current Account USD;USD;1.75;  .KK-USD.000.0.10000.07;  .KK-USD.000.0.10000.07;-1.75;USD;USD
01.03.2021;Dividend payment;10000.07-4420;0;Intel;  .941595.000.0;Dividend;;-7784;10000.07;12.04.2021;01.03.2021;01.03.2021;10000.07-  .941595.000.0;Intel (  .941595.000.0);31.08.2021;0;7784;0;0;7784;Intel;0;Current Account USD;USD;7784;  .941595.000.0;  .KK-USD.000.0.10000.07;-7784;USD;USD
05.03.2021;Dividend payment;10000.07-4387;0;Pfizer;  .962004.000.0;Dividend;;-19110;10000.07;09.03.2021;05.03.2021;05.03.2021;10000.07-  .962004.000.0;Pfizer (  .962004.000.0);31.08.2021;0;19110;0;0;19110;Pfizer;0;Current Account USD;USD;19110;  .962004.000.0;  .KK-USD.000.0.10000.07;-19110;USD;USD
10.03.2021;Dividend payment;10000.07-4391;0;IBM;  .941800.000.0;Dividend;;-9128;10000.07;12.03.2021;10.03.2021;10.03.2021;10000.07-  .941800.000.0;IBM (  .941800.000.0);31.08.2021;0;9128;0;0;9128;IBM;0;Current Account USD;USD;9128;  .941800.000.0;  .KK-USD.000.0.10000.07;-9128;USD;USD
11.03.2021;Dividend payment;10000.07-4395;0;Microsoft;  .951692.000.0;Dividend;;-705.6;10000.07;15.03.2021;11.03.2021;11.03.2021;10000.07-  .951692.000.0;Microsoft (  .951692.000.0);31.08.2021;0;705.6;0;0;705.6;Microsoft;0;Current Account USD;USD;705.6;  .951692.000.0;  .KK-USD.000.0.10000.07;-705.6;USD;USD
31.03.2021;Credit interest;10000.07-4404;0;Current Account USD;  .KK-USD.000.0.10000.07;Interest;;-2.48;10000.07;06.04.2021;31.03.2021;31.03.2021;10000.07-  .KK-USD.000.0.10000.07;Current Account USD (  .KK-USD.000.0.10000.07);31.08.2021;0;2.48;0;0;2.48;Current Account USD;0;Current Account USD;USD;2.48;  .KK-USD.000.0.10000.07;  .KK-USD.000.0.10000.07;-2.48;USD;USD
31.03.2021;Dividend payment;10000.07-4408;0;Pepsico;  .961618.000.0;Dividend;;-10557.32;10000.07;06.04.2021;31.03.2021;31.03.2021;10000.07-  .961618.000.0;Pepsico (  .961618.000.0);31.08.2021;0;10557.32;0;0;10557.32;Pepsico;0;Current Account USD;USD;10557.32;  .961618.000.0;  .KK-USD.000.0.10000.07;-10557.32;USD;USD
01.04.2021;Dividend payment;10000.07-4412;0;Coca Cola;  .919390.000.0;Dividend;;-10965.02;10000.07;07.04.2021;01.04.2021;01.04.2021;10000.07-  .919390.000.0;Coca Cola (  .919390.000.0);31.08.2021;0;10965.02;0;0;10965.02;Coca Cola;0;Current Account USD;USD;10965.02;  .919390.000.0;  .KK-USD.000.0.10000.07;-10965.02;USD;USD
01.04.2021;Dividend payment;10000.07-4416;0;Nike B;  .957150.000.0;Dividend;;-712.25;10000.07;07.04.2021;01.04.2021;01.04.2021;10000.07-  .957150.000.0;Nike B (  .957150.000.0);31.08.2021;0;712.25;0;0;712.25;Nike B;0;Current Account USD;USD;712.25;  .957150.000.0;  .KK-USD.000.0.10000.07;-712.25;USD;USD
14.04.2021;Dividend payment;10000.07-4425;0;Mondelez International;19.549948.000.0;Dividend;;-7996.44;10000.07;16.04.2021;14.04.2021;14.04.2021;10000.07-19.549948.000.0;Mondelez International (19.549948.000.0);31.08.2021;0;7996.44;0;0;7996.44;Mondelez International;0;Current Account USD;USD;7996.44;19.549948.000.0;  .KK-USD.000.0.10000.07;-7996.44;USD;USD
16.04.2021;Dividend payment;10000.07-4429;0;Thermo Fisher Scientific;  .977576.000.0;Dividend;;-161.98;10000.07;20.04.2021;16.04.2021;16.04.2021;10000.07-  .977576.000.0;Thermo Fisher Scientific (  .977576.000.0);31.08.2021;0;161.98;0;0;161.98;Thermo Fisher Scientific;0;Current Account USD;USD;161.98;  .977576.000.0;  .KK-USD.000.0.10000.07;-161.98;USD;USD
22.04.2021;Dividend payment;10000.07-4437;0;Oracle;  .959184.000.0;Dividend;;-1211.84;10000.07;26.04.2021;22.04.2021;22.04.2021;10000.07-  .959184.000.0;Oracle (  .959184.000.0);31.08.2021;0;1211.84;0;0;1211.84;Oracle;0;Current Account USD;USD;1211.84;  .959184.000.0;  .KK-USD.000.0.10000.07;-1211.84;USD;USD
30.04.2021;Credit interest;10000.07-4442;0;Current Account USD;  .KK-USD.000.0.10000.07;Interest;;-2.89;10000.07;04.05.2021;30.04.2021;30.04.2021;10000.07-  .KK-USD.000.0.10000.07;Current Account USD (  .KK-USD.000.0.10000.07);31.08.2021;0;2.89;0;0;2.89;Current Account USD;0;Current Account USD;USD;2.89;  .KK-USD.000.0.10000.07;  .KK-USD.000.0.10000.07;-2.89;USD;USD
30.04.2021;Dividend payment;10000.07-4446;0;JPMorgan Chase; 1.161460.000.0;Dividend;;-1764;10000.07;04.05.2021;30.04.2021;30.04.2021;10000.07- 1.161460.000.0;JPMorgan Chase ( 1.161460.000.0);31.08.2021;0;1764;0;0;1764;JPMorgan Chase;0;Current Account USD;USD;1764; 1.161460.000.0;  .KK-USD.000.0.10000.07;-1764;USD;USD
03.05.2021;Dividend payment;10000.07-4457;0;Verizon Communications; 1.095642.000.0;Dividend;;-18009.25;10000.07;05.05.2021;03.05.2021;03.05.2021;10000.07- 1.095642.000.0;Verizon Communications ( 1.095642.000.0);31.08.2021;0;18009.25;0;0;18009.25;Verizon Communications;0;Current Account USD;USD;18009.25; 1.095642.000.0;  .KK-USD.000.0.10000.07;-18009.25;USD;USD
14.05.2021;Dividend payment;10000.07-4469;0;Apple;  .908440.000.0;Dividend;;-6618.3;10000.07;18.05.2021;13.05.2021;14.05.2021;10000.07-  .908440.000.0;Apple (  .908440.000.0);31.08.2021;0;6618.3;0;0;6618.3;Apple;0;Current Account USD;USD;6618.3;  .908440.000.0;  .KK-USD.000.0.10000.07;-6618.3;USD;USD
31.05.2021;Credit interest;10000.07-4474;0;Current Account USD;  .KK-USD.000.0.10000.07;Interest;;-1.33;10000.07;02.06.2021;31.05.2021;31.05.2021;10000.07-  .KK-USD.000.0.10000.07;Current Account USD (  .KK-USD.000.0.10000.07);31.08.2021;0;1.33;0;0;1.33;Current Account USD;0;Current Account USD;USD;1.33;  .KK-USD.000.0.10000.07;  .KK-USD.000.0.10000.07;-1.33;USD;USD
02.06.2021;Dividend payment;10000.07-4478;0;Intel;  .941595.000.0;Dividend;;-7784;10000.07;04.06.2021;01.06.2021;02.06.2021;10000.07-  .941595.000.0;Intel (  .941595.000.0);31.08.2021;0;7784;0;0;7784;Intel;0;Current Account USD;USD;7784;  .941595.000.0;  .KK-USD.000.0.10000.07;-7784;USD;USD
04.06.2021;Dividend payment;10000.07-4482;0;Pfizer;  .962004.000.0;Dividend;;-19110;10000.07;08.06.2021;04.06.2021;04.06.2021;10000.07-  .962004.000.0;Pfizer (  .962004.000.0);31.08.2021;0;19110;0;0;19110;Pfizer;0;Current Account USD;USD;19110;  .962004.000.0;  .KK-USD.000.0.10000.07;-19110;USD;USD
10.06.2021;Dividend payment;10000.07-4488;0;Microsoft;  .951692.000.0;Dividend;;-705.6;10000.07;14.06.2021;10.06.2021;10.06.2021;10000.07-  .951692.000.0;Microsoft (  .951692.000.0);31.08.2021;0;705.6;0;0;705.6;Microsoft;0;Current Account USD;USD;705.6;  .951692.000.0;  .KK-USD.000.0.10000.07;-705.6;USD;USD
10.06.2021;Dividend payment;10000.07-4492;0;IBM;  .941800.000.0;Dividend;;-9184;10000.07;14.06.2021;10.06.2021;10.06.2021;10000.07-  .941800.000.0;IBM (  .941800.000.0);31.08.2021;0;9184;0;0;9184;IBM;0;Current Account USD;USD;9184;  .941800.000.0;  .KK-USD.000.0.10000.07;-9184;USD;USD
16.06.2021;Dividend payment;10000.07-4496;0;Viatris;58.198423.000.0;Dividend;;-668.74;10000.07;18.06.2021;16.06.2021;16.06.2021;10000.07-58.198423.000.0;Viatris (58.198423.000.0);31.08.2021;0;668.74;0;0;668.74;Viatris;0;Current Account USD;USD;668.74;58.198423.000.0;  .KK-USD.000.0.10000.07;-668.74;USD;USD
30.06.2021;Credit interest;10000.07-4501;0;Current Account USD;  .KK-USD.000.0.10000.07;Interest;;-1.27;10000.07;02.07.2021;30.06.2021;30.06.2021;10000.07-  .KK-USD.000.0.10000.07;Current Account USD (  .KK-USD.000.0.10000.07);31.08.2021;0;1.27;0;0;1.27;Current Account USD;0;Current Account USD;USD;1.27;  .KK-USD.000.0.10000.07;  .KK-USD.000.0.10000.07;-1.27;USD;USD
30.06.2021;Dividend payment;10000.07-4507;0;Pepsico;  .961618.000.0;Dividend;;-11099.37;10000.07;02.07.2021;30.06.2021;30.06.2021;10000.07-  .961618.000.0;Pepsico (  .961618.000.0);31.08.2021;0;11099.37;0;0;11099.37;Pepsico;0;Current Account USD;USD;11099.37;  .961618.000.0;  .KK-USD.000.0.10000.07;-11099.37;USD;USD
01.07.2021;Dividend payment;10000.07-4511;0;Nike B;  .957150.000.0;Dividend;;-712.25;10000.07;05.07.2021;28.05.2021;01.07.2021;10000.07-  .957150.000.0;Nike B (  .957150.000.0);31.08.2021;0;712.25;0;0;712.25;Nike B;0;Current Account USD;USD;712.25;  .957150.000.0;  .KK-USD.000.0.10000.07;-712.25;USD;USD
01.07.2021;Dividend payment;10000.07-4515;0;Coca Cola;  .919390.000.0;Dividend;;-10965.02;10000.07;05.07.2021;01.07.2021;01.07.2021;10000.07-  .919390.000.0;Coca Cola (  .919390.000.0);31.08.2021;0;10965.02;0;0;10965.02;Coca Cola;0;Current Account USD;USD;10965.02;  .919390.000.0;  .KK-USD.000.0.10000.07;-10965.02;USD;USD
14.07.2021;Dividend payment;10000.07-4520;0;Mondelez International;19.549948.000.0;Dividend;;-7996.44;10000.07;16.07.2021;14.07.2021;14.07.2021;10000.07-19.549948.000.0;Mondelez International (19.549948.000.0);31.08.2021;0;7996.44;0;0;7996.44;Mondelez International;0;Current Account USD;USD;7996.44;19.549948.000.0;  .KK-USD.000.0.10000.07;-7996.44;USD;USD
15.07.2021;Dividend payment;10000.07-4524;0;Thermo Fisher Scientific;  .977576.000.0;Dividend;;-161.98;10000.07;19.07.2021;15.07.2021;15.07.2021;10000.07-  .977576.000.0;Thermo Fisher Scientific (  .977576.000.0);31.08.2021;0;161.98;0;0;161.98;Thermo Fisher Scientific;0;Current Account USD;USD;161.98;  .977576.000.0;  .KK-USD.000.0.10000.07;-161.98;USD;USD
29.07.2021;Dividend payment;10000.07-4538;0;Oracle;  .959184.000.0;Dividend;;-1211.84;10000.07;02.08.2021;29.07.2021;29.07.2021;10000.07-  .959184.000.0;Oracle (  .959184.000.0);31.08.2021;0;1211.84;0;0;1211.84;Oracle;0;Current Account USD;USD;1211.84;  .959184.000.0;  .KK-USD.000.0.10000.07;-1211.84;USD;USD
30.07.2021;Credit interest;10000.07-4546;0;Current Account USD;  .KK-USD.000.0.10000.07;Interest;;-1.48;10000.07;04.08.2021;31.07.2021;30.07.2021;10000.07-  .KK-USD.000.0.10000.07;Current Account USD (  .KK-USD.000.0.10000.07);31.08.2021;0;1.48;0;0;1.48;Current Account USD;0;Current Account USD;USD;1.48;  .KK-USD.000.0.10000.07;  .KK-USD.000.0.10000.07;-1.48;USD;USD
02.08.2021;Dividend payment;10000.07-4542;0;JPMorgan Chase; 1.161460.000.0;Dividend;;-1764;10000.07;03.08.2021;02.08.2021;02.08.2021;10000.07- 1.161460.000.0;JPMorgan Chase ( 1.161460.000.0);31.08.2021;0;1764;0;0;1764;JPMorgan Chase;0;Current Account USD;USD;1764; 1.161460.000.0;  .KK-USD.000.0.10000.07;-1764;USD;USD
05.08.2021;Dividend payment;10000.07-4556;0;Verizon Communications; 1.095642.000.0;Dividend;;-18009.25;10000.07;06.08.2021;08.07.2021;05.08.2021;10000.07- 1.095642.000.0;Verizon Communications ( 1.095642.000.0);31.08.2021;0;18009.25;0;0;18009.25;Verizon Communications;0;Current Account USD;USD;18009.25; 1.095642.000.0;  .KK-USD.000.0.10000.07;-18009.25;USD;USD
12.08.2021;Dividend payment;10000.07-4562;0;Apple;  .908440.000.0;Dividend;;-6618.3;10000.07;16.08.2021;12.08.2021;12.08.2021;10000.07-  .908440.000.0;Apple (  .908440.000.0);31.08.2021;0;6618.3;0;0;6618.3;Apple;0;Current Account USD;USD;6618.3;  .908440.000.0;  .KK-USD.000.0.10000.07;-6618.3;USD;USD
05.03.2020;Dividend payment;10000.07-3991;0;Novartis N; 1.200526.000.0;Dividend;;-12103.52;10000.07;09.03.2020;05.03.2020;05.03.2020;10000.07- 1.200526.000.0;Novartis N ( 1.200526.000.0);31.08.2021;0;12103.52;0;0;12103.52;Novartis N;0;Current Account CHF;CHF;11505; 1.200526.000.0;  .KK-CHF.000.0.10000.07;-11505;CHF;CHF
23.03.2020;Dividend payment;10000.07-4040;0;Roche GS; 1.203204.000.0;Dividend;;-55963.77;10000.07;25.03.2020;23.03.2020;23.03.2020;10000.07- 1.203204.000.0;Roche GS ( 1.203204.000.0);31.08.2021;0;55963.77;0;0;55963.77;Roche GS;0;Current Account CHF;CHF;54990; 1.203204.000.0;  .KK-CHF.000.0.10000.07;-54990;CHF;CHF
29.04.2020;Dividend payment;10000.07-4072;0;Nestle N; 3.886335.000.0;Dividend;;-40210.6;10000.07;04.05.2020;29.04.2020;29.04.2020;10000.07- 3.886335.000.0;Nestle N ( 3.886335.000.0);31.08.2021;0;40210.6;0;0;40210.6;Nestle N;0;Current Account CHF;CHF;39147.03; 3.886335.000.0;  .KK-CHF.000.0.10000.07;-39147.03;CHF;CHF
05.05.2020;Dividend payment;10000.07-4088;0;Münchener Rückversicherung N;  .341960.000.0;Dividend;;-71957.5;10000.07;07.05.2020;05.05.2020;05.05.2020;10000.07-  .341960.000.0;Münchener Rückversicherung N (  .341960.000.0);31.08.2021;0;71957.5;0;0;71957.5;Münchener Rückversicherung N;0;Current Account EUR;EUR;66380.3;  .341960.000.0;  .KK-EUR.000.0.10000.07;-66380.3;EUR;EUR
